"Country"	"AgLandShare"	"AgGdpShare"	"ArableLandShare"	"GdpPerCapita"	"GiniCoef"	"HCI"	"LifeExp"	"PopYoung"	"PopMiddle"	"PopOld"	"PopFemale"	"PopMale"	"PopRural"	"PopUrban"	"Year"	"CalTotal"	"CalVegetal"	"CalAnimal"	"PropCalVegetal"	"PropCalAnimal"
"Nicaragua"	42.0890809373442	15.5599715913691	12.4979225527672	5465.5074394317	NA	0.508098244667053	71.795	30.4021280376524	64.5395121934612	5.0583597688863	50.7193791496167	49.2806208503833	40.988	59.012	2018	2625	2317	308	0.882666666666667	0.117333333333333
"Niger"	36.7861372069156	38.3769159852612	13.9733164916713	1281.06192868054	NA	0.31568518280983	61.451	48.9484525711188	48.6159355083704	2.43561192051078	49.2785686514048	50.7214313485953	83.374	16.626	2018	2661	2506	155	0.941751221345359	0.0582487786546411
"Nigeria"	76.2542134677251	24.1433058676092	38.4290215971101	5131.52623792346	NA	0.360609829425812	52.887	43.5018845540314	53.4955822386776	3.00253320729103	49.4818389352087	50.5181610647913	48.042	51.958	2018	2579	2496	83	0.967816983326871	0.0321830166731291
"North Macedonia"	50.0396510705789	8.56904257773164	16.4948453608247	17323.1125576046	NA	0.55734920501709	75.6931707317073	16.1207708976224	69.2936738523541	14.5855552500235	50.1255760106713	49.87437662003	41.518	58.482	2018	3055	2463	593	0.806219312602291	0.194108019639935
"Norway"	2.70656765993659	1.80538992651593	2.20842746750484	64161.0974124445	NA	0.771051168441772	83.209756097561	17.2111656129486	65.0589078966861	17.7299264903652	49.5687696230315	50.4312303769685	17.026	82.974	2018	3414	2273	1140	0.665787932044523	0.333919156414763
"Oman"	4.71382875605816	2.46933965497997	0.241227786752827	34910.8532670212	NA	0.608116269111633	74.757	25.6434693104732	71.6002019193342	2.75632877019262	37.9146537647255	62.0853462352745	13.724	86.276	2018	2946	2332	614	0.791581805838425	0.208418194161575
"Pakistan"	47.6377646326276	21.8541325548966	40.1229763387298	5278.41860157866	NA	0.406070023775101	66.269	37.2723784741093	58.553442363316	4.17417916257474	49.4642214079999	50.535778151853	62.835	37.165	2018	2466	1899	567	0.77007299270073	0.22992700729927
"Panama"	29.3084389323268	2.76969820479093	7.61660825020221	26907.3589156956	NA	0.501601994037628	76.657	26.6787777979979	64.9574625910765	8.36375961092554	49.9610655375052	50.0389344624948	31.586	68.414	2018	2998	2310	689	0.770513675783856	0.229819879919947
"Papua New Guinea"	2.62774367354149	18.7553276008804	0.662456388287771	3946.50751392608	NA	0.429185003042221	65.787	34.9169097525652	62.0495064433148	3.03358380411995	48.3112709802618	51.6887392765271	86.655	13.345	2018	2244	1912	332	0.85204991087344	0.14795008912656
"Paraguay"	42.3084319154291	11.0834607938365	11.9154291467405	14046.6522172277	43.5	0.528180062770844	73.182	29.2071397760435	64.6306258257859	6.16223439817064	49.7788612407733	50.2211538679453	37.817	62.183	2018	2768	2384	384	0.861271676300578	0.138728323699422
"Peru"	19.1236640625	7.70251042998047	2.7970515625	11789.0292775148	43.8	0.6051926612854	73.665	26.6748703998912	65.0725950371773	8.25253456293149	50.4592287059542	49.5407682914716	21.703	78.297	2018	2795	2334	461	0.835062611806798	0.164937388193202
"Philippines"	42.509306771305	10.1853110319109	18.7476942683704	8198.9675013519	NA	0.51596212387085	72.119	30.9411761743497	63.8366365067102	5.22218731894015	49.2401746354344	50.7598262559029	52.592	47.408	2018	2729	2301	428	0.843165994869916	0.156834005130084
"Poland"	47.238101460164	2.56883771547078	35.6743866984614	35312.3206271613	NA	0.753088593482971	76.6	15.3480034078472	66.2779564153475	18.3740401768053	51.6237406503311	48.3762619519133	39.957	60.043	2018	3542	2516	1027	0.710333145115754	0.289949181253529
"Portugal"	42.2766719501865	2.1739396592118	10.3872940082266	34877.1399196941	NA	0.768949568271637	80.9756097560976	13.4956608643372	64.2076135406882	22.2967255949746	52.8084832755109	47.1915167244891	33.69	66.31	2018	3459	2415	1044	0.69817866435386	0.30182133564614
"Qatar"	6.44038294168842	0.338750393788988	1.82767624020888	93894.2527454893	NA	0.637771606445313	79.099	15.3516629020952	83.3925158990503	1.25582119885451	27.3510398006075	72.6489601993925	0.765000000000001	99.235	2018	NA	NA	NA	NA	NA
"Romania"	59.0707579972184	4.17885403792064	38.7473922114047	33332.8142882811	NA	0.584187865257263	74.3536585365854	16.0181197048859	65.2959873523551	18.6858929427591	51.6210954839199	48.37890451608	45.806	54.194	2018	3586	2639	947	0.735917456776352	0.264082543223647
"Russian Federation"	13.1584362579663	3.9992487281832	7.42809828740168	29936.9296875	36	0.681419610977173	71.3387804878049	17.6804678846996	67.0134619314898	15.3060701838106	53.5473054858739	46.4526938273947	25.246	74.754	2018	3362	2506	856	0.745389649018441	0.254610350981559
"Rwanda"	73.4373733279287	26.6308748641178	46.6842318605594	2180.87734934339	NA	0.379552751779556	66.774	39.3268624174073	57.5710321064882	3.10210547610455	51.1412739128894	48.8587260871106	82.568	17.432	2018	2219	2122	97	0.956286615592609	0.0437133844073907
"Samoa"	17.773381294964	9.53628221636978	4.06115107913669	6394.37580304947	NA	0.548421680927277	72.768	37.9252266440856	57.0605710244522	5.01420233146218	48.9910621647149	51.0094031052115	82.111	17.889	2018	3049	2258	791	0.740570678911118	0.259429321088882
"Saudi Arabia"	80.7539305202145	2.54190509866685	1.59577283236188	45240.6760912869	NA	0.576390504837036	76.239	26.0410680508446	71.5622990420077	2.39663290714769	41.9763010399697	58.0236961820293	15.713	84.287	2018	3306	2865	441	0.866606170598911	0.133393829401089
"Senegal"	46.1122941879188	16.2158547282752	16.6207863709552	3569.20913872327	NA	0.420110791921616	68.006	42.0651163413263	54.7617746767485	3.17310898192517	50.8586819760381	49.1413180239619	51.878	48.122	2018	2591	2427	163	0.936703975299112	0.0629100733307603
"Serbia"	40.0640292705237	6.34335002788481	29.7736107935056	19555.6043865002	NA	0.676606357097626	74.2292682926829	14.1296665420631	65.1256872702375	20.7446461876994	52.0617205343024	47.9382794656976	43.554	56.446	2018	2830	2044	786	0.72226148409894	0.27773851590106
"Seychelles"	3.3695652173913	2.10480117390732	0.326086956521739	28351.856828203	NA	0.632779061794281	77.2365853658537	23.2379418174927	69.1239457974036	7.63811238510376	47.3258788969961	52.6741211030039	42.454	57.546	2018	3112	2492	620	0.800771208226221	0.199228791773779
"Sierra Leone"	54.7104461069548	59.4873958863112	21.9451371571072	1673.0650188926	NA	0.36270210146904	59.763	39.7851741149668	57.0676686296119	3.14715725542131	49.9054890897101	50.0945230550998	57.077	42.923	2018	2335	2238	97	0.958458244111349	0.041541755888651
"Slovakia"	39.1638935108153	1.72973881919489	27.9950083194676	32438.8757545583	NA	0.664987325668335	76.8658536585366	15.8419573951599	67.3338580112946	16.8241845935455	51.1668173382318	48.8331826617682	46.24	53.76	2018	2880	1979	901	0.687152777777778	0.312847222222222
"Slovenia"	30.3177330605272	2.09373979902914	8.99018692517034	40778.6915461215	NA	0.774986982345581	80.5317073170732	15.2025532184162	64.6964476037251	20.1009991778588	49.8027758246086	50.1972241753914	44.882	55.118	2018	3180	2368	812	0.744654088050314	0.255345911949686
"Solomon Islands"	4.18006430868167	34.1198383133867	0.714540907466953	2604.3548807197	NA	0.419872611761093	70.199	39.5719414546352	56.9651926639617	3.46286588140317	48.8938658055443	51.1061341944557	75.33	24.67	2018	2405	2205	200	0.916839916839917	0.0831600831600832
"South Africa"	79.4178502831612	2.52063944776343	9.89209374407505	13517.7805856267	NA	0.425453394651413	65.252	28.7396723302935	65.2597929763407	6.00053469336587	51.394817384131	48.605182615869	32.646	67.354	2018	2903	2432	471	0.837754047537031	0.162245952462969
"South Korea"	16.608606557377	1.76572048133322	13.8524590163934	44698.0767424487	NA	0.798776268959045	83.4268292682927	12.1664146109619	72.0045160651504	15.8290693238877	50.0401101829329	49.9598917459049	18.586	81.414	2018	NA	NA	NA	NA	NA
"Spain"	52.3316792232841	2.87113737255018	23.2994560606836	38118.8709879448	NA	0.728255033493042	82.3341463414634	14.3956333577662	65.9318580535555	19.6725085886783	50.9905590992717	49.0094409007283	19.19	80.81	2018	3342	2472	869	0.73967684021544	0.260023937761819
"Sri Lanka"	45.4574846427417	8.14819682170069	22.1791141286777	13812.9574751065	NA	0.598324298858643	76.393	23.5872127477129	65.6098081519803	10.8029791003068	51.8022154098541	48.1977845901459	81.287	18.713	2018	2763	2558	205	0.925805284111473	0.074194715888527
"St. Lucia"	16.2950819672131	1.94766586028752	4.37704918032787	12289.250299853	NA	0.602564752101898	73.416	18.5729469165042	72.5106214415033	8.91643164199256	50.4421520110245	49.5578479889755	81.159	18.841	2018	NA	NA	NA	NA	NA
"St. Vincent and the Grenadines"	17.9487179487179	8.56773162720856	5.12820512820513	14211.4840320727	NA	0.533341825008392	72.126	22.2784507681648	67.0465677490264	10.6749814828089	48.9324489639881	51.0685067665724	46.968	53.032	2018	NA	NA	NA	NA	NA
"Sudan"	37.1551605995717	20.3208627539859	11.2392077087794	4087.00610351563	NA	0.377445191144943	65.614	41.1776527376411	55.4843628397763	3.3379844225826	50.0243246664764	49.9756753335236	64.747	35.253	2018	2599	2239	361	0.861485186610235	0.138899576760292
"Sweden"	7.37947833353596	1.32935387209544	6.23288151999232	55563.8870074479	NA	0.79535710811615	82.4073170731707	17.7450854687151	62.22232112844	20.0325934028449	49.6666737069037	50.3333262930963	12.023	87.977	2018	3175	2139	1036	0.673700787401575	0.326299212598425
"Switzerland"	38.0659114794679	0.700223828076231	10.1184633172917	71984.3344217571	NA	0.756115138530731	83.1	15.0597381778765	66.2144142815519	18.7258475405716	50.385507488297	49.6145040876354	26.085	73.915	2018	3379	2253	1125	0.666765315182007	0.332938739271974
"Tajikistan"	35.4204193385691	23.9638010774396	6.0479861661503	3851.94291285677	NA	0.504116356372833	67.994	36.4944090597637	60.2694041950468	3.23618674518954	49.6868295951246	50.3131599262177	72.494	27.506	2018	2692	2255	437	0.837667161961367	0.162332838038633
"Tanzania"	44.6163919620682	26.7371112693473	15.2432829081057	2690.92456054688	NA	0.389834702014923	66.408	43.8773745870602	52.9949476309012	3.12767778203859	50.6106603085369	49.3893396914631	64.773	35.227	2018	NA	NA	NA	NA	NA
"Thailand"	45.0390495018497	8.69768165551579	32.9033647164752	17771.3071709385	35	0.609310984611511	79.274	16.0659765534604	70.083656934732	13.8503665118077	51.3548177740608	48.6451822259392	48.57	51.43	2018	2793	2407	386	0.861797350519155	0.138202649480845
"Timor-Leste"	22.9589778076664	13.1489399797832	7.49831876260928	5122.48822042025	NA	0.454314529895783	68.475	35.945061327159	58.6828795495367	5.37205912330432	49.0019576998373	50.9980423001627	68.68	31.32	2018	2245	2038	206	0.907795100222717	0.0917594654788419
"Togo"	70.2334988049274	18.7766483059643	48.7221915793344	2180.16961040197	NA	0.431868046522141	61.035	40.497827678269	56.4440194821962	3.05815283953483	49.7421049015822	50.2578950984178	57.2	42.8	2018	2396	2287	108	0.954507512520868	0.0450751252086811
"Trinidad and Tobago"	10.5263157894737	1.17030864050751	4.87329434697856	24672.3557027999	NA	0.603487730026245	74.406	19.5245585572412	69.8010139993031	10.6744274434557	50.6520119593162	49.3479221709097	46.786	53.214	2018	2970	2360	610	0.794612794612795	0.205387205387205
"Tunisia"	62.6351699279094	10.3802951349707	16.7031410916581	10571.9008385961	NA	0.516809940338135	75.292	24.9500708082235	66.4714366541649	8.57849253761165	50.5594067551119	49.4405932448881	30.432	69.568	2018	3492	3089	403	0.884593356242841	0.115406643757159
"Turkiye"	49.0651351948339	6.66815502175033	25.4485921806582	27721.7242982333	NA	0.649261832237244	75.85	23.7110603615819	68.1068441709647	8.18209546745335	49.8630065802958	50.1369922311443	23.895	76.105	2018	NA	NA	NA	NA	NA
"Uganda"	71.8880909634949	23.9290337205103	34.4105326152005	2363.19203234959	NA	0.384176582098007	62.851	45.6701073228634	52.6650768317732	1.66481584536345	50.5161952662979	49.4838024816837	75.046	24.954	2018	2124	1950	174	0.918079096045198	0.0819209039548023
"Ukraine"	71.2996202968588	9.31015109807472	56.8243010010356	13087.3095703125	25.6	0.631387114524841	71.1851219512195	15.3272298253506	67.4827124911094	17.1900576835399	53.6955667118944	46.3044355655085	30.392	69.608	2018	3023	2338	685	0.773403903407211	0.226596096592789
"United Arab Emirates"	5.48859476203886	0.963890712780097	0.689946493945367	71374.1810463077	NA	0.673011898994446	78.946	14.9409854694949	83.4050388654859	1.65397566501915	30.277091624908	69.722908375092	12.952	87.048	2018	3049	2505	544	0.821580846179075	0.178419153820925
"United Kingdom"	71.3400491877816	0.64377316203971	24.7117025585913	46754.581463023	NA	0.782942950725555	80.9024390243903	17.7883500845831	63.4891380150104	18.7225119004065	50.6074592830835	49.3925407169164	16.097	83.903	2018	NA	NA	NA	NA	NA
"United States of America"	44.363367353855	0.948847431791134	17.2438567377468	63027.6795267153	NA	0.701764345169067	77.2804878048781	18.5113495341764	65.2652503157439	16.2234001500798	50.4365621109903	49.5634381866801	17.336	82.664	2018	3862	2742	1120	0.709994821336095	0.290005178663905
"Uruguay"	80.3531025025711	7.28668644653781	11.5666780939321	23024.0989100538	40.2	0.59876024723053	78.43	19.7968321883977	64.8650157993973	15.338152012205	51.5857869998011	48.4142421624888	4.485	95.515	2018	3198	2372	826	0.741713570981864	0.258286429018136
"Uzbekistan"	58.2832179734483	25.1214399709681	9.12969476909111	7746.43096873538	NA	0.622805714607239	70.331	29.7700920460112	65.3623781423	4.8675298116888	49.9755090397324	50.0244939429688	49.584	50.416	2018	3225	2473	752	0.766821705426357	0.233178294573643
"Vietnam"	39.4347683207361	12.6553971925266	21.6540269088055	11022.9570002851	NA	0.689964532852173	75.378	22.693134535111	68.8794569159397	8.42740854894926	50.6189266827583	49.3810733172417	62.66	37.34	2018	NA	NA	NA	NA	NA
"Zambia"	32.0639233780384	2.9770863463156	5.11171794078478	3358.00532219863	NA	0.396927535533905	62.38	43.6803729346094	54.5897669105859	1.72986015480474	50.6616989953621	49.3383010046379	55.371	44.629	2018	2259	2089	170	0.924745462594068	0.0752545374059318
"Zimbabwe"	41.8766963939511	8.77285875573664	10.3399250355435	2099.32045907446	NA	0.46689310669899	61.124	41.1560846287343	55.4676532352381	3.37626213602766	52.8693272721959	47.1306791095611	67.758	32.242	2018	2070	1735	335	0.838164251207729	0.161835748792271
